Student,What genre of music do you listen to the most?,
Student 1,Pop,
Student 2,Rap/ Hip-hop,
Student 3,Rap/ Hip-hop,
Student 4,Rap/ Hip-hop,
Student 5,R&B,
Student 6,Pop,
Student 7,Rap/ Hip-hop,
Student 8,Heavy metal,
Student 9,R&B,
Student 10,Pop,
Student 11,Pop,
Student 12,Pop,
Student 13,Pop,
Student 14,Classical music,
Student 15,Pop,
Student 16,Pop,
Student 17,Rap/ Hip-hop,
Student 18,Pop,
Student 19,Classical music,
Student 20,Classical music,
Student 21,Classical music,
Student 22,Rap/ Hip-hop,
Student 23,Folk music,
Student 24,Rap/ Hip-hop,
Student 25,Munting,
Student 26,Pop,
Student 27,Rock,
Student 28,Pop,
Student 29,Hip Hop,
Student 30,Pop,
Student 31,Rap/ Hip-hop,
Student 32,Rock,
Student 33,Rap/ Hip-hop,
Student 34,Rock,
Student 35,Rap/ Hip-hop,
Student 36,Rap/ Hip-hop,
Student 37,Pop,
Student 38,Rap/ Hip-hop,
Student 39,Pop,
Student 40,Indie (indie rock/pop),
Student 41,Rap/ Hip-hop,
Student 42,indie-pop,
Student 43,R&B,
Student 44,Rap/ Hip-hop,
Student 45,Pop,
Student 46,indie,
Student 47,Pop,
Student 48,Rap/ Hip-hop,
Student 49,Rap/ Hip-hop,
Student 50,Rap/ Hip-hop,
Student 51,Bollywood,
Student 52,Rap/ Hip-hop,
Student 53,Rap/ Hip-hop,
Student 54,Rap/ Hip-hop,
Student 55,Rap/ Hip-hop,
Student 56,Rap/ Hip-hop,
Student 57,Rap/ Hip-hop,
Student 58,Rap/ Hip-hop,
Student 59,mongolian harp music,
Student 60,Rap/ Hip-hop,
Student 61,Pop,
Student 62,R&B,
Student 63,Pop,
Student 64,Rap/ Hip-hop,
Student 65,Pop,
Student 66,Alternative or singer/songwriter,
Student 67,R&B,
Student 68,Rap/ Hip-hop,
Student 69,R&B,
Student 70,R&B,
Student 71,Rock,
Student 72,Rap/ Hip-hop,
Student 73,Rap/ Hip-hop,
Student 74,Rock,
Student 75,R&B,
Student 76,Pop,
Student 77,Pop,
Student 78,Phonk,
Student 79,Classical music,
Student 80,Rock,
Student 81,Disney,
Student 82,Pop,
Student 83,Rap/ Hip-hop,
Student 84,Rap/ Hip-hop,
Student 85,Rap/ Hip-hop,
Student 86,Rap/ Hip-hop,
Student 87,Pop,
Student 88,R&B,
Student 89,Pop,
Student 90,Indie,
Student 91,Pop,
Student 92,alternative,
Student 93,Pop,
Student 94,Heavy metal,
Student 95,Rock,
Student 96,Soundtracks,
Student 97,Pop,
Student 98,Pop,
Student 99,Pop,
Student 100,Rap/ Hip-hop,
Student 101,Rap/ Hip-hop,
Student 102,Rap/ Hip-hop,
Student 103,Rap/ Hip-hop,
Student 104,Electronic ,
Student 105,Country,
